Membership No  Date Joined  Active  
    27020      2016-7-8     no    
    99865      2017-11-13   no    
    70818      2020-7-12    no    
    66929      2015-3-11    no    
    46618      2017-8-4     no    
    83921      2015-9-7     no    
    20928      2018-4-2     no    
    41132      2019-11-22   no    
    99434      2015-9-25    no    
    49667      2020-6-4     no    
    11767      2016-11-17   no    
    59399      2015-10-20   no    
    66993      2015-2-13    no    
    14877      2015-11-17   no    
