Membership No  Date Joined  Active  
    63970      2019-8-15    no    
    88999      2016-6-7     no    
    37274      2016-4-7     no    
    54199      2018-3-24    no    
    99384      2016-11-21   no    
    29471      2019-10-25   no    
    11661      2015-8-1     no    
    96641      2018-2-24    no    
    57115      2018-1-11    no    
    44751      2015-6-19    no    
    84637      2017-6-22    no    
    22380      2019-6-24    no    
    84444      2019-6-11    no    
    70975      2017-7-16    no    
    79562      2017-6-2     no    
